,fullname,id,likes,quotes,replies,retweets,searchQuery,text,timestamp,username,verified,tweets_en
1063,Wani Seonsu,1720318690720448753,0,0,1,0,Israel,Not me checking prudential in brands supporting israel or not 🤧 Alhamdulillah,2023-11-03T05:55:00.000Z,@zawanikun,False,Not me checking prudential in brands supporting israel or not 🤧 Alhamdulillah
1064,Faiz Rahman,1720071791035679026,21967,3055,1147,7072,Israel,"Apa benar merk ""culun"" seperti Starbucks, L'oreal, Unilever, dll. menyumbang banyak untuk Israel?
Kenapa saya bilang merk culun? Ya karena memang culun, beda dengan merk-merk yang sebenarnya jauh lebih vital bagi Indonesia maupun Israel, tapi nggak ikutan diboikot 👇 -Thread-",2023-11-02T13:34:00.000Z,@faizfaizrahman,False,"Is it true that ""geeky"" brands like Starbucks, L'Oreal, Unilever, etc. donate a lot to Israel?
Why do I say geeky brands? Yes, because it's geeky, it's different from brands which are actually much more vital for Indonesia and Israel, but they won't be boycotted 👇 -Thread-"
1065,Aurélien Taché,1720281954304553032,31,1,8,14,Hamas,"""Israël annonce renvoyer à #Gaza tous les travailleurs gazaouis bloqués depuis l’attaque du Hamas le 7 octobre.""  Sans doute des terroristes eux aussi ? Pourquoi les renvoyer là-bas maintenant ? Pourquoi ? Demandez-vous pourquoi. lemonde.fr/international/liv…",2023-11-03T03:29:00.000Z,@Aurelientache,True,“Israel announces sending back to #Gaza all Gazan workers stranded since the Hamas attack on October 7.” Probably terrorists too? Why send them back there now? For what ? Ask yourself why. lemonde.fr/international/liv…
1066,Senator Leo Housakos,1720072340145410271,810,7,63,334,Hamas,"Is this a joke? These “trusted partners” are the same ones who’ve operated in Gaza for years when aid has ended up in the hands of Hamas. They include World Vision, whose manager of Gaza operations was actually convicted of funneling millions of aid money and resources to HAMAS.",2023-11-02T13:36:00.000Z,@SenatorHousakos,True,"Is this a joke? These “trusted partners” are the same ones who’ve operated in Gaza for years when aid has ended up in the hands of Hamas. They include World Vision, whose manager of Gaza operations was actually convicted of funneling millions of aid money and resources to HAMAS."
1067,イスラエル大使館 Israel in Japan,1720310087389245911,71,6,8,30,Hamas,"242 innocent Israeli and foreign nationals, including children, the elderly, women, and men, have been abducted by the Hamas terrorist organization in Gaza for 28 days. 

Each carries a unique life story, and loving families eagerly await their return. Today, in #Shibuya, #Tokyo, a peaceful assembly was held by Israeli, Jewish, and Japanese supporters to advocate for their immediate and safe return to their families. 

We think of each and every one of you, and we will do everything possible to bring you back home. 

#BringThemBack

📸 Credit: Nimrod Shanit, Anat Parnes, Samantha Tsunezumi",2023-11-03T05:21:00.000Z,@IsraelinJapan,True,"242 innocent Israeli and foreign nationals, including children, the elderly, women, and men, have been abducted by the Hamas terrorist organization in Gaza for 28 days. 

Each carries a unique life story, and loving families eagerly await their return. Today, in #Shibuya, #Tokyo, a peaceful assembly was held by Israeli, Jewish, and Japanese supporters to advocate for their immediate and safe return to their families. 

We think of each and every one of you, and we will do everything possible to bring you back home. 

#BringThemBack

📸 Credit: Nimrod Shanit, Anat Parnes, Samantha Tsunezumi"
1068,Jean MESSIHA,1720134103037620523,797,26,201,541,Hamas,"#HamasTerrorrists #Islamisme #STOPimmigration #GazaGenocide
#CeasefireForGaza #Hamas_is_ISIS

« Nous allons faire autant de pogroms que nécessaires afin de tuer le maximum de Juifs pour anéantir Israël ».

Dixit l’un des chefs du Hamas, « mouvement de résistance luttant pour la justice, l’amour et la paix entre les peuples », selon l’extrême-gauche et la diversité islamisée.",2023-11-02T17:41:00.000Z,@JeanMessiha,True,"#HamasTerrorrists #Islamism #STOPimmigration #GazaGenocide
#CeasefireForGaza #Hamas_is_ISIS

“We are going to carry out as many pogroms as necessary in order to kill as many Jews as possible to annihilate Israel.”

Says one of the leaders of Hamas, “a resistance movement fighting for justice, love and peace between peoples”, according to the far left and Islamized diversity."
1069,Farid Basharat,1720128990957162793,6186,6,138,1636,Hamas,"These fighters have nothing to do with Hamas. They’re not even all from the same country. The only thing they have in common is being Muslims. It shows how the Israeli people feel about Islam and Muslims, Palestinian or not.",2023-11-02T17:21:00.000Z,@faridbofficial,True,"These fighters have nothing to do with Hamas. They’re not even all from the same country. The only thing they have in common is being Muslims. It shows how the Israeli people feel about Islam and Muslims, Palestinian or not."
1070,Le Pantsula,1720318615528845418,0,0,0,0,Hamas,"You honestly want us to believe that Israel is “defending” itself and “targeting” Hamas?! This is disgusting, and it’s even more disgusting that world leaders are supporting these hooligans!!!!! #FREEPALESTINE",2023-11-03T05:54:00.000Z,@Ntebo_Tsehla,True,"You honestly want us to believe that Israel is “defending” itself and “targeting” Hamas?! This is disgusting, and it’s even more disgusting that world leaders are supporting these hooligans!!!!! #FREEPALESTINE"
1071,Nadira Ali🇵🇸,1720106025356034246,558,11,39,195,Hamas,"People of these nations are in solidarity with Palestine🇵🇸 #Hamas

🇲🇻🇵🇸🇵🇰🇮🇷🇮🇶🇸🇾🇹🇷🇿🇦🇧🇷🇮🇪🇶🇦🇱🇧🇦🇫🇧🇭🇰🇼🇧🇩🇨🇳🇷🇺🇦🇺🇩🇿🇨🇺🇮🇩🇳🇬🇲🇾🇴🇲🇻🇪🇹🇷🇰🇵

🙏🏻keep supporting oppressed children of palestine",2023-11-02T15:50:00.000Z,@Nadira_ali12,False,"People of these nations are in solidarity with Palestine🇵🇸 #Hamas

🇲🇻🇵🇸🇵🇰🇮🇷🇮🇶🇸🇾🇹🇷🇿🇦🇧🇷🇮🇪🇶🇦🇱🇧🇦🇫🇧🇭🇰🇼🇧🇩🇨🇳🇷🇺🇦🇺🇩🇿🇨🇺🇮🇩🇳🇬🇲🇾🇴🇲🇻🇪🇹🇷🇰🇵

🙏🏻keep supporting oppressed children of palestine"
1072,Graham Allen,1720175155630985642,1310,5,125,303,Hamas,"Maga supporters aren't beheading innocent children and raping women.

That's Hamas…",2023-11-02T20:24:00.000Z,@GrahamAllen_1,True,"Maga supporters aren't beheading innocent children and raping women.

That's Hamas…"
1073,NorquistNemesis,1720318614689972287,0,0,0,0,Hamas,"THANK YOU for saying this! This is exactly the problem I've always had when it comes to even a simple discussion of it. 

It's also why (at least right now) ppl should be clear to specify Israeli government vs just Israel/Israelis & Hamas/ Hezbollah etc vs Palestinian ppl.",2023-11-03T05:54:00.000Z,@NorquistNemesis,False,"THANK YOU for saying this! This is exactly the problem I've always had when it comes to even a simple discussion of it. 

It's also why (at least right now) ppl should be clear to specify Israeli government vs just Israel/Israelis & Hamas/ Hezbollah etc vs Palestinian ppl."
1074,Aviva Klompas,1720165182226190627,5373,106,426,2276,Hamas,"Omer Siman-Tov 🕯️

Omer was just 4-years-old when he was murdered by Hamas terrorists along with his parents and sisters in their Kibbutz Nir Oz home on October 7.

Hamas murdered babies. They slaughtered families.
How can anyone defend Hamas’s atrocities?",2023-11-02T19:45:00.000Z,@AvivaKlompas,True,"Omer Siman-Tov 🕯️

Omer was just 4-years-old when he was murdered by Hamas terrorists along with his parents and sisters in their Kibbutz Nir Oz home on October 7.

Hamas murdered babies. They slaughtered families.
How can anyone defend Hamas’s atrocities?"
1075,ThePrintIndia,1720318166906331375,1,0,0,1,Hamas,"'Judge Hamas & Israel on their actions, not where your loyalties lie', says author & columnist @virsanghvi

Watch ThePrint #SharpEdge

piped.video/P8PPlaJph3k",2023-11-03T05:53:00.000Z,@ThePrintIndia,False,"'Judge Hamas & Israel on their actions, not where your loyalties lie', says author & columnist @virsanghvi

Watch ThePrint #SharpEdge

piped.video/P8PPlaJph3k"
1076,Shiri🇸🇪✝️,1720318610587922693,0,0,0,0,Hamas,23 miljoner dollar från irakisk olja går in i Hamas namn varje dag,2023-11-03T05:54:00.000Z,@SherleebI,False,$23 million from Iraqi oil goes into Hamas's name every day
1077,Mohammad Alsaafin,1719547487675953426,23825,43,137,5395,Hamas,For once I want someone to explain why Hamas would use human shields if Israel keeps bombing them anyway. Explain it Senator.,2023-11-01T02:50:00.000Z,@malsaafin,True,For once I want someone to explain why Hamas would use human shields if Israel keeps bombing them anyway. Explain it Senator.
1078,The Saviour,1720198248109948933,751,8,31,342,Palestine,🇺🇸 New York stands with Palestine!,2023-11-02T21:56:00.000Z,@stairwayto3dom,True,🇺🇸 New York stands with Palestine!
1079,Slobodan Jasnic,1720318636861108673,0,0,0,0,Palestine,"War in Ukraine and Palestine schows West's total hypokrcy their true attitude,Isreal supported by the collective West is killing Palestinnans children women in Gaza like animals in a hang totaly deffendless no food without nowhere to escape locked bihnd fence.",2023-11-03T05:54:00.000Z,@JasnicSlobodan,False,"War in Ukraine and Palestine schows West's total hypokrcy their true attitude,Isreal supported by the collective West is killing Palestinnans children women in Gaza like animals in a hang totaly deffendless no food without nowhere to escape locked bihnd fence."
1080,Lili de Rochefort,1699821145493586064,57,0,0,60,Palestine,"“Let’s begin….”

🌸 Lili de Rochefort from Tekken
🌸 MVRP
🌸 Ship with chem
🌸 Is always ready for a plot
🌸 RT so that this Princess can grace your TL with her presence",2023-09-07T16:25:00.000Z,@DiamoundQueen,False,"“Let’s begin….”

🌸 Lili de Rochefort from Tekken
🌸 MVRP
🌸 Ship with chem
🌸 Is always ready for a plot
🌸 RT so that this Princess can grace your TL with her presence"
1081,𝓛𝓲𝓪𝓷𝓪 ,1720071787562828020,1883,13,96,645,Palestine,"ku mencoba membuat gambar ghibli version art style image generate by AI, dan inilah hasilnya 🍉🇵🇸

#semangka #watermelon #FreePalestine #StopGenocideInGaza #Palestine #Palestina",2023-11-02T13:34:00.000Z,@febbyaliana,False,"I tried to make a Ghibli version art style image generated by AI, and this is the result 🍉🇵🇸

#watermelon #watermelon #FreePalestine #StopGenocideInGaza #Palestine #Palestine"
1082,SomniaCaraTiny👑 (Pray For Palestine ),1720318635120746685,1,0,0,0,Palestine,This is a very interesting question coming from them,2023-11-03T05:54:00.000Z,@InSomnia7568,True,This is a very interesting question coming from them
1083,Artemis/Silver! || 🇮🇶,1719767948011639208,643,3,2,653,Palestine,"Palestine won't be the only country that Israel will attack. Israel is planning to attack Lebanon, Egypt (has already started attacking those two.), Iraq, Iran, Syria, and more bordering countries. Please, Don't turn a blind eye to every other country.  #IsraelIsATerroristState",2023-11-01T17:26:00.000Z,@silverbrusher,False,"Palestine won't be the only country that Israel will attack. Israel is planning to attack Lebanon, Egypt (has already started attacking those two.), Iraq, Iran, Syria, and more bordering countries. Please, Don't turn a blind eye to every other country.  #IsraelIsATerroristState"
1084,🌐Fʀᴇᴇ Pᴀʟᴇsᴛɪɴᴇ,1720162342829535525,133,4,27,81,Israel,"🤣
👇
“Cepat daftar skrg melalui link di bagian deskripsi.Anda akan mndapatkan kewarganegaraan Israel & tempat yg aman bagi Anda & keluarga di Israel.”
.
Tentara Pampers @IDF memasang iklan  merayu tentara Ukraina utk bergabung& berperang brsma mereka.

Israehell sudah kalah !",2023-11-02T19:33:00.000Z,@IATeam___,False,"🤣
👇
""Hurry up and register now through the link in the description section. You will get Israeli citizenship and a safe place for you and your family in Israel.""
.
Pampers @IDF soldiers put up ads appealing to Ukrainian soldiers to join & fight with them.

Israel has lost!"
1085,Culture Critic,1720059446741668017,37967,968,3517,4224,Israel,"Dear artists, what is preventing you from painting like this?",2023-11-02T12:45:00.000Z,@Culture_Crit,True,"Dear artists, what is preventing you from painting like this?"
1086,mysam.arzani,1720318690451706053,0,0,0,0,Israel,These two people are Israel's energy suppliers. They are Jewish eggs. They are the eggs of Sharon's father.,2023-11-03T05:55:00.000Z,@r82226576,False,These two people are Israel's energy suppliers. They are Jewish eggs. They are the eggs of Sharon's father.
1087,Acción y Comunicación sobre Oriente Medio - ACOM,1720143127695007929,3831,53,198,1076,Israel,"Para que comprendáis lo que es Israel y la respuesta de su población al terrorismo:

A la derecha, el abogado  Ran Bar-Yoshafat, Vicepresidente en el Foro Político Kohelet que apoyaba fervorosamente la reforma judicial en Israel. A la izquierda, Gideon Segev, activista de 'Brothers in Arms', que se oponía vehementemente a la reforma judicial. 

Hace un mes el de la izquierda pensaba que el de la derecha era un peligroso ultraderechista que quería acabar con la democracia de Israel. El de la derecha pensaba que el de la izquierda era un ultra izquierdista traidor a la voluntad popular de los israelíes. 

Hoy sirven juntos. Hombro con hombro. Con un solo objetivo: la derrota del terrorismo y la defensa de los ciudadanos de Israel.

Los amigos de los terroristas pagarían por encontrar fisuras entre los israelíes. Y si no las encuentran, se las inventarán. 

Suerte para ellos. Somos una piña. Despertaron al león. Am Israel Jai",2023-11-02T18:17:00.000Z,@ACOM_es,True,"So that you understand what Israel is and the response of its population to terrorism:

On the right, lawyer Ran Bar-Yoshafat, Vice President at the Kohelet Political Forum who fervently supported judicial reform in Israel. On the left, Gideon Segev, 'Brothers in Arms' activist, who was vehemently opposed to judicial reform.

A month ago, the one on the left thought that the one on the right was a dangerous far-rightist who wanted to end Israel's democracy. The one on the right thought that the one on the left was an ultra-leftist traitor to the popular will of the Israelis.

Today they serve together. Shoulder to shoulder. With a single objective: the defeat of terrorism and the defense of the citizens of Israel.

The friends of the terrorists would pay to find cracks among the Israelis. And if they don't find them, they will invent them.

Good luck to them. We are a pineapple. They woke up the lion. Am Israel Jai"
1088,Alerta News 24,1720215855907144150,1557,31,172,555,Gaza,"🇵🇸 GUERRA ISRAEL-GAZA 🇮🇱

El reportero de la televisión palestina Salman Al-Bashir arrojó el chaleco de prensa al suelo poco después de informar sobre el asesinato de su colega, Mohammed Abu Hatab, en un bombardeo israelí.",2023-11-02T23:06:00.000Z,@AlertaNews24,True,"🇵🇸 ISRAEL-GAZA WAR 🇮🇱

Palestinian television reporter Salman Al-Bashir threw his press vest to the ground shortly after reporting on the murder of his colleague, Mohammed Abu Hatab, in an Israeli bombing raid."
1089,Sprinter,1720311943943094719,146,5,22,50,Gaza,"The British Foreign Office building in central London was doused with red paint by pro-Palestinian activists who are dissatisfied with the position of the British authorities on the conflict in the Gaza Strip, the Daily Express newspaper reported.",2023-11-03T05:28:00.000Z,@Sprinter99800,True,"The British Foreign Office building in central London was doused with red paint by pro-Palestinian activists who are dissatisfied with the position of the British authorities on the conflict in the Gaza Strip, the Daily Express newspaper reported."
1090,Erlangga Greschinov,1719272214766522376,20481,156,90,5049,Gaza,"Perang Israel di Gaza ternyata punya konsekuensi ekonomi yang bikin Israel mulai was was.
Apa saja dampak ekonomi yang dihadapi Israel saat ini?
(A thread)",2023-10-31T08:36:00.000Z,@Greschinov,True,"Israel's war in Gaza turned out to have economic consequences that made Israel start to worry.
What are the economic impacts facing Israel currently?
(A thread)"
1091,Marwa Fatafta مروة فطافطة,1720228781040832766,1312,23,7,1384,Gaza,The power generator of Al Shifa Hospital —the largest hospital in Gaza— is now off.,2023-11-02T23:57:00.000Z,@marwasf,False,The power generator of Al Shifa Hospital —the largest hospital in Gaza— is now off.
1092,TIMES OF GAZA,1719956915566846160,14765,436,215,12239,Gaza,"The lsraeli aggression on Gaza Strip continues for the 27th consecutive day, November 2nd.",2023-11-02T05:57:00.000Z,@Timesofgaza,False,"The lsraeli aggression on Gaza Strip continues for the 27th consecutive day, November 2nd."
1093,Abier,1719995067157372992,11633,270,196,4922,Gaza,"Jews Unlearning #Zionism is my absolute favorite genre on TikTok 

Incredible transformation 

#Israel
#Gaza",2023-11-02T08:29:00.000Z,@abierkhatib,False,"Jews Unlearning #Zionism is my absolute favorite genre on TikTok 

Incredible transformation 

#Israel
#Gaza"
1094,Lavrov,1720263501913223599,35,1,6,12,Palestine,"Religious Jew explains that according to the Talmud, non-Jews are not human.
This is the dominant ideology of the Israeli people.
#Gaza #Palestine #Israel #GazaGenocide",2023-11-03T02:15:00.000Z,@novembergroyper,False,"Religious Jew explains that according to the Talmud, non-Jews are not human.
This is the dominant ideology of the Israeli people.
#Gaza #Palestine #Israel #GazaGenocide"
1095,Jackson Hinkle 🇺🇸,1720238725311930614,5101,54,260,1651,Palestine,🚨🇵🇸 Jewish protesters in NEW YORK stand with PALESTINE!,2023-11-03T00:37:00.000Z,@jacksonhinklle,True,🚨🇵🇸 Jewish protesters in NEW YORK stand with PALESTINE!
1096,Jinbase Indonesia 🇮🇩,1720026637058842641,1440,15,149,1224,Palestine,"Pray for Palestine🇵🇸 
🥺🥺

STOP THE GENOCIDE
ITS A HUMANITARIAN DUTY 
#StopGenocideInGaza 
#CeaseFireInGaza 
#CeasefireNOW 
#FreePalestine",2023-11-02T10:34:00.000Z,@JinBase_,False,"Pray for Palestine🇵🇸 
🥺🥺

STOP THE GENOCIDE
ITS A HUMANITARIAN DUTY 
#StopGenocideInGaza 
#CeaseFireInGaza 
#CeasefireNOW 
#FreePalestine"
1097,Engr Amjad Ali,1720289075650031679,3,0,1,1,Palestine,"Standing with Palestine means Standing with Humanity. 
We stand with Palestine 🤞🇵🇸",2023-11-03T03:57:00.000Z,@EngrAmjadAli47,True,"Standing with Palestine means Standing with Humanity. 
We stand with Palestine 🤞🇵🇸"
1098,Mario Nawfal,1720219234217726334,1812,32,184,918,Palestine,"🚨 JUST IN: ANOTHER PALESTINIAN REPORTER KILLED 

Muhammad Abu Hatab, Palestine TV correspondent, was killed as a result of the targeting of his home in Khan Yunis in Gaza.",2023-11-02T23:20:00.000Z,@MarioNawfal,True,"🚨 JUST IN: ANOTHER PALESTINIAN REPORTER KILLED 

Muhammad Abu Hatab, Palestine TV correspondent, was killed as a result of the targeting of his home in Khan Yunis in Gaza."
1099,Hanif Saeed 🇵🇰,1720287116096049660,178,8,33,105,Palestine,"🇮🇱🇵🇸🩸
📍Gaza, Palestine 

Israeli terrorism has 
⚰️killed 4000+ innocent Children in the name of Self defense.
⚰️ kill children and say they were ""human shield"". So Shameful,
So Painful.

#Gaza #Palestine #GazaGenocide #Hezbollah #غزه_مقبرة_الغزاة #غزة_تنتصر #ابو_عبيدة #حزب_الله #Israel #FreePalestineNow",2023-11-03T03:49:00.000Z,@haneefsaeed,True,"🇮🇱🇵🇸🩸
📍Gaza, Palestine

Israeli terrorism has
⚰️killed 4000+ innocent Children in the name of Self defense.
⚰️ kill children and say they were “human shield”. So Shameful,
So Painful.

#Gaza #Palestine #GazaGenocide #Hezbollah #Gaza_Cemetery_of_Invaders #Gaza_Triumphs #Abu_Ubaida #Hezbollah #Israel #FreePalestineNow"
1100,Sanatan Prabhat,1720257362693439693,11,0,0,21,Hamas,"Hindus happily coexist with others; why does violence come only from the I$l@mists ? :  Mosab Hassan Yousef, #Hamas co-founder’s son

Political parties like #Congress, #AIMIM, pseudo liberal organisations and Indian Mu$l!ms support #Palestine and in turn #Hamas

What do they have to say about Yousef’s statement now ?

Read more : sanatanprabhat.org/english/8…

#HamasTerrorists #IsraelPalestineWar",2023-11-03T01:51:00.000Z,@SanatanPrabhat,True,"Hindus happily coexist with others; why does violence come only from the I$l@mists ? :  Mosab Hassan Yousef, #Hamas co-founder’s son

Political parties like #Congress, #AIMIM, pseudo liberal organisations and Indian Mu$l!ms support #Palestine and in turn #Hamas

What do they have to say about Yousef’s statement now ?

Read more : sanatanprabhat.org/english/8…

#HamasTerrorists #IsraelPalestineWar"
1101,Monica 💚💚💚,1720140759884570657,3848,11,71,984,Hamas,"Y'all always ask me to denounce Hamas but my tax dollars aren't going to Hamas.  My tax dollars go to Biden and Israel. 

Y'all never ask me to denounce them tho.  It's qwhite telling.",2023-11-02T18:08:00.000Z,@BlackBernieBabe,False,"Y'all always ask me to denounce Hamas but my tax dollars aren't going to Hamas.  My tax dollars go to Biden and Israel. 

Y'all never ask me to denounce them tho.  It's qwhite telling."
1102,LCP,1720156739016810937,908,155,494,512,Hamas,"""Nous n'employons pas le terme de terroriste, mais de groupe armé en l'occurrence palestinien. Pourquoi nous ne l'employons pas, parce qu'il n'est pas reconnu en droit international"", explique @jcsamouiller sur le lexique employé par @amnestyfrance.
#Israel #Hamas #Gaza#CVR",2023-11-02T19:11:00.000Z,@LCP,True,"""We do not use the term terrorist, but armed group in this case Palestinian. Why we do not use it, because it is not recognized in international law"", explains @jcsamouiller on the lexicon used by @amnestyfrance.
#Israel #Hamas #Gaza #TRC"
1103,Selim Atalay🇹🇷🇺🇦,1720318607391924455,0,0,0,0,Hamas,"Dolayısıyla 8 günde o alayı geriye çekmek re organize etmek ve tekrar cepheye sürmek zorunda kalırsınız.

Hem iç kamuoyunda baskıya maruz kalmamak için hem de HAMAS'a istihbarat sağlamamak amacıyla herhangi bir yaralı paylaşımı yapılmıyor.

Benim şahsi kanaatim bu şekilde.",2023-11-03T05:54:00.000Z,@SelimAtalay08,False,"Therefore, you will have to withdraw that regiment, reorganize it and send it back to the front in 8 days.

In order not to be exposed to pressure in the domestic public and to not provide intelligence to HAMAS, no information about the injured is shared.

This is my personal opinion."
1104,Alejandro Fargosi,1720050265892475124,2992,55,189,1317,Hamas,"Perfecto ejemplo de lo que es Massa: 

En Israel vá al Muro de los Lamentos.

En su gobierno, repudia la defensa de Israel ante el salvaje y genocida ataque de Hamás.",2023-11-02T12:08:00.000Z,@fargosi,True,"Perfect example of what Massa is:

In Israel he goes to the Wailing Wall.

In his government, she repudiates Israel's defense against the savage and genocidal attack of Hamas."
1105,GrumpyHebrew,1720318605911564590,0,0,0,0,Hamas,"As far as the strategic calculus, it frankly seems moot. It's no longer 1978, the US simply does not have the leverage to compel Israel to abandon a vital national security interest. The US-promoted strategy of containing Hamas has failed and Biden understands that (cont.)",2023-11-03T05:54:00.000Z,@JTHAfterHours,False,"As far as the strategic calculus, it frankly seems moot. It's no longer 1978, the US simply does not have the leverage to compel Israel to abandon a vital national security interest. The US-promoted strategy of containing Hamas has failed and Biden understands that (cont.)"
1106,Halak BATAK🇲🇨,1720318604812722386,0,0,0,0,Hamas,"Saya hanya ingin menyentil para pendukung teroris Hamas yang sok bela kemanusiaan, tetapi disaat yang bersamaan diam seribu bahasa terhadap penindasan umat Kristen.

Baru kali ini lihat orang Indonesia, bilang Indonesia itu dengan sebutan INDON. Agak anek juga kau ku lihat.",2023-11-03T05:54:00.000Z,@Panurirang11,False,"I just want to poke fun at Hamas terrorist supporters who pretend to defend humanity, but at the same time remain silent about the oppression of Christians.

This is the first time I've seen an Indonesian person, saying that Indonesia is called INDON. I also see that it's a bit strange."
1107,WikiLeaks,1719005698300813488,17466,1457,664,10874,Hamas,"A week after the Hamas attack, Israel's Ministry of Intelligence issued a secret ten-page document outlining the expulsion of the Palestinian population of Gaza to northern Sinai, in Egypt:

1. Instruct Palestinian civilians to vacate north Gaza ahead of land operations;
2. Sequential land operations from north to south Gaza;
3. Routes across Rafah to be left clear;
4. Establish tent cities in northern Sinai and construct cities to resettle Palestinians in Egypt

The document has been verified by an official from the Ministry of Intelligence, according to the Hebrew website Mekomit which originally published the document. Mekomit noted that documents from the Ministry of Intelligence are advisory and not binding on the executive
Link to full document [in Hebrew]: rb.gy/g1k0d",2023-10-30T14:57:00.000Z,@wikileaks,True,"A week after the Hamas attack, Israel's Ministry of Intelligence issued a secret ten-page document outlining the expulsion of the Palestinian population of Gaza to northern Sinai, in Egypt:

1. Instruct Palestinian civilians to vacate north Gaza ahead of land operations;
2. Sequential land operations from north to south Gaza;
3. Routes across Rafah to be left clear;
4. Establish tent cities in northern Sinai and construct cities to resettle Palestinians in Egypt

The document has been verified by an official from the Ministry of Intelligence, according to the Hebrew website Mekomit which originally published the document. Mekomit noted that documents from the Ministry of Intelligence are advisory and not binding on the executive
Link to full document [in Hebrew]: rb.gy/g1k0d"
1108,Pat Just Pat,1720245034543460794,123,0,8,35,Hamas,"This is what evil sounds like. The ""last election"" he refers to, where Hamas was voted in, was in 2006. 17 years ago. Most people in Gaza weren't old enough to vote then. Even then, they only got 44% of the vote. This man is scum.",2023-11-03T01:02:00.000Z,@PatTheBerner,True,"This is what evil sounds like. The ""last election"" he refers to, where Hamas was voted in, was in 2006. 17 years ago. Most people in Gaza weren't old enough to vote then. Even then, they only got 44% of the vote. This man is scum."
1109,Fly on the Ceiling,1720253589895987339,3,0,0,0,Israel,"""Departure "" you mean ethnic cleansing.  Removal of a population is a crime. You know Israel (and the US) will never let them back.",2023-11-03T01:36:00.000Z,@CeilingFly,False,"""Departure "" you mean ethnic cleansing.  Removal of a population is a crime. You know Israel (and the US) will never let them back."
1110,Palestina Hoy,1720166451607138653,6988,156,324,5003,Israel,"Habiba, que en árabe significa “La más querida”, tenía 8 años y según su maestra era la más lista de la clase. De mayor quería ser médico y le gustaba pintar. “Una niña preciosa y dulce con un bonito pelo pelirrojo y la cara más bonita del mundo” dice su madre. Israel la asesinó.",2023-11-02T19:50:00.000Z,@HoyPalestina,True,"Habiba, which in Arabic means “The most beloved,” was 8 years old and according to her teacher she was the smartest in the class. When she grew up she wanted to be a doctor and she liked to paint. “A beautiful, sweet girl with beautiful red hair and the most beautiful face in the world,” says her mother. Israel murdered her."
1111,Jake Shields,1719405643055157254,73065,571,1727,40111,Israel,"This I believe is before oct 7th but gives you an understanding of why Palestinians hate Israel.  

They are treated worse than animals",2023-10-31T17:27:00.000Z,@jakeshieldsajj,True,"This I believe is before oct 7th but gives you an understanding of why Palestinians hate Israel.  

They are treated worse than animals"
1112,NOZ,1720318686748377250,0,0,0,0,Israel,Innenpolitischer Streit in den USA blockiert Hilfe für Israel und Ukraine noz.de/deutschland-welt/poli… #noz,2023-11-03T05:55:00.000Z,@noz_de,False,Domestic political dispute in the USA blocks aid for Israel and Ukraine noz.de/deutschland-welt/poli… #noz
1113,Ahmad Faezal,1720172477203300406,8651,143,109,10109,Gaza,"Akhirnya ada juga update pasal Nour AlSaqqa.

Dia guna kuasa media sosial tunjuk keadaan sebenar kat Gaza. Last dia update Instagram tiga hari lepas. Tapi tadi New York Times ada lapor pasal dia.

Dia dok ada kat selatan Gaza tengah berteduh kat sebuah tadika... tak jauh dari sempadan Rafah. Dan dia ada pesanan untuk dunia.

“Kualiti hidup teruk sangat. Kena bergaduh nak dapat beberapa liter air. Bila cakap tiada air, saya mohon orang ramai faham kami dah berhari-hari tak minum air walau setitis pun.”

Our nightmare. Their reality.

“Kebersihan [hygiene] dah jadi kemewahan sekarang. Tak ada air nak basuh tangan. Tak ada air nak gosok gigi.”

Macam mana agaknya kalau kena keracunan makanan? Allahuakbar. Tunggu jap. Baca lagi...

“Saya tersiksa sangat sebab beberapa hari lalu...... saya terkena keracunan makanan.”

Seorang wanita. Situasi macam ni. Tiada air.

“Kalau bom tak bunuh kami, situasi kami pasti bunuh kami nanti. Jadi saya bertahan selama mungkin sebab nak teman mak saya. Cuma saya tak tahu apa akan jadi.”

Nour AlSaqqa bagitau dia takut kalau krisis ni berterusan, dia akan meninggal dunia.

Doakan mereka, sahabat semua. Jangan berhenti.

Macam mana ibu susukan anak dalam keadaan macam ni? Macam mana kalau susu ibu tak ada... kena bergantung pada formula?

Our nightmare. Their reality.",2023-11-02T20:14:00.000Z,@AhmadFaezal4,True,"Finally there is also an update on Nour AlSaqqa.

He used the power of social media to show the real situation in Gaza. He last updated Instagram three days ago. But the New York Times had a report about him.

He's docked in southern Gaza sheltering in a kindergarten... not far from the Rafah border. And he has orders for the world.

""The quality of life is very bad. Had to fight to get a few liters of water. When I say there is no water, I beg people to understand that we haven't had a drop of water for days.""

Our nightmare. Their reality.

""Hygiene has become a luxury now. There is no water to wash hands. There is no water to brush your teeth.""

How do you feel if you get food poisoning? Allahu akbar Wait a minute. Read more...

""I'm in a lot of pain because a few days ago... I got food poisoning.""

A woman. This kind of situation. No water.

""If the bomb doesn't kill us, our situation will definitely kill us later. So I lasted as long as possible because I wanted to be my mother's friend. I just don't know what will happen.""

Nour AlSaqqa said she was afraid that if this crisis continued, she would die.

Pray for them, friends. Don't stop.

How can a mother breastfeed her child in this situation? What if there is no breast milk... have to rely on formula?

Our nightmare. Their reality."
